"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","surplus_hillary","surplus_hillary2"
"1617","Cascade","Montana",12175,19632,17486,16675,14949,18039,4851,3744,0,13,9,15,15,9,8,14,24,18,82344,81327,22.6,16.9,49.6,88.9,1.7,1,4.1,2.3,90.8,24.6,10265,15.8,65.6,24727,44963,14.9,2698.16,30.1,30.51857562,56,23,7,1,2,11,1,10,3,2,82268,1.410025769,0.647514888,0.75,582,0.154041131,0.31,0.06,0.533163,97022,42688
"1618","Chouteau","Montana",732,1679,1118,1625,969,1751,267,182,-1,0.546326346,0.874122154,0.874122154,0.651556755,0.579156587,0.941745151,3,1,2,5894,5813,24.5,18.1,50.6,77,0.2,0.5,2.2,1.6,91.1,22.9,574,17.5,62.3,21737,40070,21.7,3972.49,1.5,1.483704175,6,1,1,0,0,0,0,1,1,0,5900,1.694915254,0.731587137,0.62,88,2.157282449,0.79,0.26,0.522781,103532,41666
"1619","Custer","Montana",1176,3657,2262,3040,1824,3353,476,388,0,3,3,4,0,0,2,3,2,6,12092,11699,22.1,18.7,50,95,0.6,0.4,3,2.1,90.9,19.7,1178,14.2,68.9,23910,43524,13.3,3783.36,3.1,3.19610082,7,3,1,0,1,0,1,1,1,0,12068,1.242956579,0.735233658,0.7,121,0.893155917,0.88,0.09,0.493429,101998,41669
"1620","Daniels","Montana",168,730,343,692,236,735,65,44,-1,0.171001678,0.273602684,0.273602684,0.204620421,0.181641497,0.294768872,0.168023662,0.231439687,0.487793579,1793,1751,21,25.2,49.7,95.3,0.3,0.3,2,2.4,94.4,22.9,178,9.8,75.2,31449,46100,10.1,1426.11,1.2,1.25726627,2,0,0,0,0,0,1,0,1,0,1801,2.22098834,0.769877676,0.61,22,2.324749184,NA,NA,0.490852,103917,41602
"1621","Dawson","Montana",787,3320,1587,2626,1219,3024,228,234,0,1,1,1,0,1,0,2,1,0,9518,8966,22.3,16.8,48.6,94.9,0.5,0.4,2.7,1,89.3,18.1,825,18.3,70.3,26126,50405,16,2371.87,3.8,4.012867484,9,5,2,0,0,2,1,1,1,0,9543,2.20056586,0.744111709,0.69,112,2.088741212,1.2,0.4,0.486708,101946,41575
"1622","DeerLodge","Montana",2058,1763,3341,1481,2829,1431,990,797,0,1,0,2,4,2,3,3,3,8,9150,9298,16.2,20.7,46.6,93,0.4,0.5,3.1,1.6,89.1,18.1,1227,20.2,72.7,22052,38958,20.5,736.53,12.6,12.42311922,5,2,2,0,0,0,1,1,2,0,9152,1.420454545,0.772027004,0.69,77,0.929193063,NA,NA,0.482499,104774,41774
"1623","Fallon","Montana",154,1279,318,1082,236,1123,34,21,-1,0.271864499,0.434983198,0.434983198,0.324666776,0.287696409,0.46863395,0.266599494,0.366570239,0.867188586,3108,2890,25.9,15.7,48.7,97.1,0.2,0.6,1.7,0.9,92.7,16.1,220,12,72,28563,51164,5.9,1620.77,1.8,1.917607063,7,1,1,0,0,0,1,0,1,0,3111,3.535840566,0.754291845,0.65,38,3.426355256,1.66,0.92,0.449488,103354,41594
"1624","Fergus","Montana",1202,4269,1921,4100,1628,4243,415,358,0,5,1,3,1,2,3,5,2,3,11442,11586,20.4,23,49.7,95.9,0.5,0.3,2.4,1.4,92.3,25.5,1233,14.3,74.4,24429,38344,13.8,4339.8,2.7,2.636527029,8,7,0,0,0,0,1,0,1,0,11433,1.486923817,0.772883514,0.68,135,1.582807955,0.7,0.15,0.445417,101412,41638
"1625","Flathead","Montana",13293,30240,15976,25361,13534,27694,3285,4487,0,7,7,10,16,12,20,15,18,25,94924,90928,22.5,17.2,50.2,95.2,0.4,0.7,2.7,2,93.8,28.4,8688,18.6,71,25790,46581,14.2,5087.66,17.9,18.65769332,78,13,10,1,3,3,4,15,8,0,94726,1.425163102,0.711205627,0.61,688,0.512292753,0.38,-0.1,0.444007,87532,40379
"1626","Gallatin","Montana",24246,23802,23984,22375,21534,24051,6002,8543,0,9,8,9,5,3,3,10,16,27,97308,89513,20.5,11.2,48.6,95.1,0.4,1.4,3.1,2.7,96.1,46,5744,16.8,61.8,28939,52833,14.1,2602.69,34.4,37.38747219,64,13,13,0,4,1,1,16,7,1,97276,1.233603355,0.684850044,0.7,782,0.333520248,0.48,-0.16,0.423906,104923,39040
"1627","Garfield","Montana",34,653,109,595,66,622,9,17,-1,0.118443263,0.189509221,0.189509221,0.141565903,0.125672311,0.204169851,0.116246567,0.160126188,0.364108028,1309,1206,22.9,22.6,50.1,98.7,0.3,0.1,1.2,0.2,91.7,13,97,10.6,76.3,25921,45096,10.5,4675.36,0.3,0.27997844,0,0,0,0,0,0,0,0,0,0,1308,0,0.766958425,0.5,19,0.756780053,NA,NA,0.420595,103860,41573
"1628","Glacier","Montana",3121,1620,3361,1443,2784,1391,976,1140,0,9,9,6,3,3,1,2,0,3,13696,13399,31.3,10.9,51.1,33.6,0.2,0.4,2.7,2.1,83.5,18.4,934,12.4,59.5,15604,33519,33.7,2995.94,4.5,4.571520124,8,3,1,0,0,1,2,0,1,0,13698,1.16805373,0.584558824,0.62,77,-0.528544799,-1.01,-0.2,0.41435,105980,41417
"1629","GoldenValley","Montana",71,365,122,342,110,351,27,29,-1,0.087855176,0.140568281,0.140568281,0.10503149,0.093783028,0.151442789,0.086246404,0.119494252,0.230972344,852,884,20.2,24.5,48.7,94.5,0.7,0.7,4.1,0.3,88.6,20.3,70,27,79.3,23508,39313,20.7,1175.34,0.8,0.724896626,0,0,0,0,0,0,0,0,0,0,852,0,0.789126853,0.56,9,0.14202875,NA,NA,0.411591,104185,41579
"1630","Granite","Montana",472,1192,601,1013,533,1107,138,216,0,0,1,2,0.340690989,0.302774972,0.492533642,1,0,0,3209,3079,16.2,28.9,49.5,96.5,0.4,0.3,2.1,1.9,88.2,26.5,402,23.8,76.1,26277,45236,15.1,1727.42,1.8,1.857683713,2,1,0,1,0,0,0,0,0,0,3215,1.244167963,0.785352372,0.41,34,1.298043845,NA,NA,0.405818,103759,41503
"1631","Hill","Montana",2371,3478,3563,2763,3372,3133,868,876,0,0,4,8,3,3,2,3,2,2,16596,16096,27,14.1,49.6,72.7,0.6,0.6,3.3,1.6,91.6,22.6,1353,14.5,67.8,21376,43726,18.9,2898.96,5.6,5.724811657,12,3,1,0,0,1,2,3,2,0,16599,1.445870233,0.695931478,0.71,151,0.749713946,-0.09,0.14,0.355049,103372,41573
"1632","Jefferson","Montana",1998,4177,2574,3525,2256,4042,716,788,0,2,1,0,0,3,0,1,1,2,11558,11406,21,18.7,49,94.8,0.4,0.5,2.3,1.5,94.3,33.5,1397,21.1,85.9,30397,60863,7.8,1656.26,6.9,6.978372961,7,0,1,0,0,0,1,1,0,0,11552,0.86565097,0.802584615,0.71,108,0.711556969,0.52,-0.01,0.313688,102300,41509
"1633","JudithBasin","Montana",235,872,396,799,336,852,69,69,-1,0.198846088,0.31815374,0.31815374,0.237348341,0.211528525,0.342766444,0.194898131,0.269520437,0.539213415,1991,2072,18.8,22.5,47.9,97.9,0.1,0.3,1.7,0.8,93.4,29.7,242,19,75.4,24260,41932,12.4,1869.82,1.1,1.064808377,1,0,0,0,0,0,0,0,0,0,1991,0.502260171,0.81054036,0.57,36,1.977096722,NA,NA,0.300119,103842,41581
"1634","Lake","Montana",4776,7530,6693,6463,5715,7084,1350,1629,0,5,3,3,3,4,4,11,5,7,29099,28746,24.2,19.7,50.8,68.2,0.4,0.5,4.1,1.8,90.2,24.8,2885,21,69.1,21521,38019,22.4,1490.15,19.3,19.52756434,21,4,2,0,0,0,2,1,1,0,29204,1.061498425,0.712587038,0.36,208,0.255086461,-0.03,-0.05,0.275195,101725,41302
"1635","LewisandClark","Montana",14478,16895,NA,NA,15479,16673,5402,5569,0,9,10,9,12,6,10,11,18,15,65856,63395,21.8,16.2,50.8,94.1,0.5,0.7,3,1.5,94.7,37.5,6310,17.6,72.3,28400,56243,10.4,3458.83,18.3,19.03996438,46,16,30,7,16,11,1,11,5,2,65904,2.200169944,0.727451366,0.71,792,2.061183395,NA,NA,0.256978,102062,41414
"1636","Liberty","Montana",206,698,367,594,257,698,78,74,-1,0.214456308,0.343130092,0.343130092,0.256037759,0.226906546,0.369674992,0.210244909,0.289114442,0.669569648,2359,2339,21.2,19.8,52.4,98.1,0.3,0.1,0.7,4,75.5,20.6,143,16.9,62.2,25522,44493,21,1430.05,1.6,1.649592672,3,0,1,0,0,0,0,1,0,0,2363,2.115954295,0.800963082,0.63,33,2.654029767,NA,NA,0.255336,103987,41585
