county,state,clinton,trump
Washington,FL,"2,264","8,637"
Florida,T,"4,504,975","4,617,886"
,,,
Appling,GA,"1,434","5,494"
Atkinson,GA,697,"1,878"
Bacon,GA,608,"3,364"
Baker,GA,650,775
Baldwin,GA,"7,970","7,697"
Banks,GA,684,"6,134"
Barrow,GA,"6,580","21,108"
Bartow,GA,"8,212","29,911"
Ben Hill,GA,"2,101","3,739"
Berrien,GA,"1,047","5,422"
Bibb,GA,"36,787","24,043"
Bleckley,GA,"1,101","3,719"
Brantley,GA,619,"5,567"
Brooks,GA,"2,528","3,701"
Bryan,GA,"4,014","10,529"
Bulloch,GA,"9,261","15,097"
Burke,GA,"4,731","4,491"
Butts,GA,"2,566","6,717"
Calhoun,GA,"1,179",830
Camden,GA,"5,930","12,310"
Candler,GA,"1,026","2,664"
Carroll,GA,"12,464","30,029"
Catoosa,GA,"4,771","20,876"
Charlton,GA,"1,004","2,951"
Chatham,GA,"62,290","45,688"
Chattahoochee,GA,594,751
Chattooga,GA,"1,613","6,462"
Cherokee,GA,"25,231","80,649"
Clarke,GA,"29,603","12,717"
Clay,GA,697,566
Clayton,GA,"78,220","12,645"
Clinch,GA,686,"1,727"
Cobb,GA,"160,121","152,912"
Coffee,GA,"4,094","9,588"
Colquitt,GA,"3,463","9,898"
Columbia,GA,"18,887","43,085"
Cook,GA,"1,753","4,176"
Coweta,GA,"16,583","42,533"
Crawford,GA,"1,421","3,635"
Crisp,GA,"2,837","4,549"
Dade,GA,965,"5,051"
Dawson,GA,"1,448","9,900"
Decatur,GA,"4,124","6,020"
DeKalb,GA,"251,370","51,468"
Dodge,GA,"1,839","5,021"
Dooly,GA,"1,872","1,951"
Dougherty,GA,"23,311","10,232"
Douglas,GA,"31,005","24,817"
Early,GA,"2,168","2,552"
Echols,GA,156,"1,007"
Effingham,GA,"4,853","17,874"
Elbert,GA,"2,539","5,292"
Emanuel,GA,"2,435","5,335"
Evans,GA,"1,130","2,404"
Fannin,GA,"1,923","9,632"
Fayette,GA,"23,284","35,048"
Floyd,GA,"9,159","24,114"
Forsyth,GA,"23,462","69,851"
Franklin,GA,"1,243","7,054"
Fulton,GA,"297,051","117,783"
Gilmer,GA,"1,965","10,477"
Glascock,GA,138,"1,235"
Glynn,GA,"11,775","21,512"
Gordon,GA,"3,181","15,191"
Grady,GA,"3,013","6,053"
Greene,GA,"3,199","5,490"
Gwinnett,GA,"166,153","146,989"
Habersham,GA,"2,483","13,190"
Hall,GA,"16,180","51,733"
Hancock,GA,"2,701",843
Haralson,GA,"1,475","9,585"
Harris,GA,"4,086","11,936"
Hart,GA,"2,585","7,286"
Heard,GA,743,"3,370"
Henry,GA,"50,057","45,724"
Houston,GA,"22,553","35,430"
Irwin,GA,891,"2,716"
Jackson,GA,"4,491","21,784"
Jasper,GA,"1,544","4,360"
Jeff Davis,GA,901,"4,104"
Jefferson,GA,"3,821","3,063"
Jenkins,GA,"1,123","1,895"
Johnson,GA,"1,136","2,519"
Jones,GA,"3,961","8,305"
Lamar,GA,"2,270","5,190"
Lanier,GA,806,"1,984"
Laurens,GA,"6,752","12,411"
Lee,GA,"3,170","10,646"
Liberty,GA,"9,556","6,134"
Lincoln,GA,"1,273","2,759"
Long,GA,"1,360","2,626"
Lowndes,GA,"15,064","21,635"
Lumpkin,GA,"2,220","9,619"
McDuffie,GA,"3,699","5,432"
McIntosh,GA,"2,303","3,487"
Macon,GA,"2,705","1,540"
Madison,GA,"2,425","9,201"
Marion,GA,"1,213","1,921"
Meriwether,GA,"3,804","5,222"
Miller,GA,623,"1,891"
Mitchell,GA,"3,493","4,279"
Monroe,GA,"3,571","8,832"
Montgomery,GA,847,"2,670"
Morgan,GA,"2,663","6,559"
