county,state,diversity_index
White,GA,0.058801
Whitfield,GA,0.056927
Wilcox,GA,0.056897
Wilkes,GA,0.056881
Wilkinson,GA,0.055006
Worth,GA,0.047261
Hawaii,HI,0.364975
Honolulu,HI,0.351179
Kalawao,HI,0.298168
Kauai,HI,0.295642
Maui,HI,0.21832
Adair,IA,0.736427
Adams,IA,0.69039
Allamakee,IA,0.662891
Appanoose,IA,0.621119
Audubon,IA,0.602447
Benton,IA,0.575657
BlackHawk,IA,0.571432
Boone,IA,0.563911
Bremer,IA,0.556605
Buchanan,IA,0.550416
BuenaVista,IA,0.549787
Butler,IA,0.546371
Calhoun,IA,0.54178
Carroll,IA,0.534312
Cass,IA,0.531964
Cedar,IA,0.530621
CerroGordo,IA,0.530066
Cherokee,IA,0.52578
Chickasaw,IA,0.524324
Clarke,IA,0.519916
Clay,IA,0.517362
Clayton,IA,0.516253
Clinton,IA,0.514233
Crawford,IA,0.501484
Dallas,IA,0.491255
Davis,IA,0.488307
Decatur,IA,0.483283
Delaware,IA,0.480677
DesMoines,IA,0.478635
Dickinson,IA,0.475562
Dubuque,IA,0.468523
Emmet,IA,0.456673
Fayette,IA,0.446238
Floyd,IA,0.442433
Franklin,IA,0.433894
Fremont,IA,0.427673
Greene,IA,0.394225
Grundy,IA,0.388727
Guthrie,IA,0.386772
Hamilton,IA,0.381879
Hancock,IA,0.379201
Hardin,IA,0.373199
Harrison,IA,0.367701
Henry,IA,0.358358
Howard,IA,0.343745
Humboldt,IA,0.340824
Ida,IA,0.337811
Iowa,IA,0.333887
Jackson,IA,0.323368
Jasper,IA,0.320153
Jefferson,IA,0.315556
Johnson,IA,0.304701
Jones,IA,0.300573
Keokuk,IA,0.289753
Kossuth,IA,0.279949
Lee,IA,0.260788
Linn,IA,0.248834
Louisa,IA,0.242834
Lucas,IA,0.241631
Lyon,IA,0.238791
Madison,IA,0.232338
Mahaska,IA,0.231825
Marion,IA,0.225697
Marshall,IA,0.223414
Mills,IA,0.199457
Mitchell,IA,0.193724
Monona,IA,0.192512
Monroe,IA,0.189873
Montgomery,IA,0.185409
Muscatine,IA,0.178003
O'Brien,IA,0.162852
Osceola,IA,0.155697
Page,IA,0.151274
PaloAlto,IA,0.150926
Plymouth,IA,0.136806
Pocahontas,IA,0.136477
Polk,IA,0.135495
Pottawattamie,IA,0.132704
Poweshiek,IA,0.13171
Ringgold,IA,0.119148
Sac,IA,0.113537
Scott,IA,0.105992
Shelby,IA,0.102316
Sioux,IA,0.099823
Story,IA,0.091115
Tama,IA,0.087349
Taylor,IA,0.085565
Union,IA,0.07791
VanBuren,IA,0.075995
Wapello,IA,0.072196
Warren,IA,0.070293
Washington,IA,0.066494
Wayne,IA,0.062689
Webster,IA,0.062611
Winnebago,IA,0.051137
Winneshiek,IA,0.051132
Woodbury,IA,0.049209
Worth,IA,0.04726
Wright,IA,0.047203
Ada,ID,0.740757
Adams,ID,0.694312
Bannock,ID,0.595468
BearLake,ID,0.58408
Benewah,ID,0.578466
Bingham,ID,0.571598
Blaine,ID,0.569329
Boise,ID,0.56654
Bonner,ID,0.565573
Bonneville,ID,0.565561
Boundary,ID,0.560536
Butte,ID,0.545529
Camas,ID,0.539878
Canyon,ID,0.537069
Caribou,ID,0.536623
Cassia,ID,0.531762
Clark,ID,0.521163
Clearwater,ID,0.514755
Custer,ID,0.493451
Elmore,ID,0.458114
Franklin,ID,0.43342
Fremont,ID,0.427875
Gem,ID,0.417565
Gooding,ID,0.409754
Idaho,ID,0.337624
Jefferson,ID,0.315348
Jerome,ID,0.308903
Kootenai,ID,0.280056
Latah,ID,0.266898
Lemhi,ID,0.26
Lewis,ID,0.257917
Lincoln,ID,0.252559
Madison,ID,0.233596
Minidoka,ID,0.197897
NezPerce,ID,0.168566
Oneida,ID,0.158674
Owyhee,ID,0.152124
Payette,ID,0.148057
Power,ID,0.131807
Shoshone,ID,0.100426
Teton,ID,0.085379
TwinFalls,ID,0.079791
Valley,ID,0.076056
Washington,ID,0.066558
Adams,IL,0.698748
Alexander,IL,0.669656
Bond,IL,0.565984
Boone,IL,0.565034
Brown,IL,0.553092
Bureau,IL,0.548148
Calhoun,IL,0.540811
Carroll,IL,0.534597
Cass,IL,0.533076
Champaign,IL,0.529058
Christian,IL,0.522266
Clark,IL,0.520496
Clay,IL,0.517065
Clinton,IL,0.514087
Coles,IL,0.510923
Cook,IL,0.50599
Crawford,IL,0.500838
Cumberland,IL,0.495151
DeKalb,IL,0.482282
DeWitt,IL,0.476531
Douglas,IL,0.470432
DuPage,IL,0.466746
Edgar,IL,0.462061
Edwards,IL,0.460538
Effingham,IL,0.459782
Fayette,IL,0.446804
Ford,IL,0.440316
Franklin,IL,0.430705
Fulton,IL,0.426929
Gallatin,IL,0.423592
Greene,IL,0.3941
Grundy,IL,0.389503
Hamilton,IL,0.381018
Hancock,IL,0.378466
Hardin,IL,0.373074
Henderson,IL,0.360905
Henry,IL,0.357673
Iroquois,IL,0.331951
Jackson,IL,0.326161
Jasper,IL,0.319845
Jefferson,IL,0.315369
Jersey,IL,0.308787
JoDaviess,IL,0.30668
Johnson,IL,0.304274
Kane,IL,0.297211
Kankakee,IL,0.296676
Kendall,IL,0.293747
Knox,IL,0.281902
Lake,IL,0.275753
LaSalle,IL,0.267249
Lawrence,IL,0.264588
Lee,IL,0.261093
Livingston,IL,0.247528
Logan,IL,0.24542
Macon,IL,0.238268
Macoupin,IL,0.236716
Madison,IL,0.233967
Marion,IL,0.22677
Marshall,IL,0.222017
Mason,IL,0.219552
Massac,IL,0.219474
McDonough,IL,0.216145
McHenry,IL,0.214721
McLean,IL,0.21217
Menard,IL,0.207276
Mercer,IL,0.205325
Monroe,IL,0.189113
Montgomery,IL,0.185419
Morgan,IL,0.183236
Moultrie,IL,0.179517
Ogle,IL,0.161283
Peoria,IL,0.146771
Perry,IL,0.146012
Piatt,IL,0.143706
Pike,IL,0.140657
Pope,IL,0.133397
Pulaski,IL,0.128245
Putnam,IL,0.127857
Randolph,IL,0.124506
Richland,IL,0.120584
RockIsland,IL,0.117069
Saline,IL,0.111572
Sangamon,IL,0.109977
Schuyler,IL,0.106116
Scott,IL,0.105619
Shelby,IL,0.102263
St.Clair,IL,0.096709
Stark,IL,0.093053
Stephenson,IL,0.092867
Tazewell,IL,0.085521
Union,IL,0.077936
Vermilion,IL,0.074198
Wabash,IL,0.074133
Warren,IL,0.070337
Washington,IL,0.064642
Wayne,IL,0.062691
White,IL,0.058723
Whiteside,IL,0.056931
Will,IL,0.05499
Williamson,IL,0.054922
Winnebago,IL,0.051141
Woodford,IL,0.0492
Adams,IN,0.692349
Allen,IN,0.650181
Bartholomew,IN,0.588653
Benton,IN,0.576124
Blackford,IN,0.571553
Boone,IN,0.564287
Brown,IN,0.552329
Carroll,IN,0.534549
Cass,IN,0.53302
Clark,IN,0.520993
Clay,IN,0.51668
Clinton,IN,0.514351
Crawford,IN,0.498969
Daviess,IN,0.488874
Dearborn,IN,0.484716
Decatur,IN,0.482813
DeKalb,IN,0.481917
Delaware,IN,0.481636
Dubois,IN,0.468776
Elkhart,IN,0.458886
Fayette,IN,0.446161
Floyd,IN,0.44249
Fountain,IN,0.438718
Franklin,IN,0.43042
Fulton,IN,0.426789
Gibson,IN,0.416549
Grant,IN,0.404966
Greene,IN,0.393611
Hamilton,IN,0.382424
Hancock,IN,0.379354
Harrison,IN,0.367848
Hendricks,IN,0.360868
Henry,IN,0.357273
Howard,IN,0.344734
Huntington,IN,0.340081
Jackson,IN,0.323555
Jasper,IN,0.320234
Jay,IN,0.319478
Jefferson,IN,0.313449
Jennings,IN,0.310146
Johnson,IN,0.304228
Knox,IN,0.281435
Kosciusko,IN,0.280032
LaGrange,IN,0.276693
Lake,IN,0.276188
LaPorte,IN,0.268882
Lawrence,IN,0.263906
Madison,IN,0.234
Marion,IN,0.228616
Marshall,IN,0.222089
Martin,IN,0.221187
Miami,IN,0.203521
Monroe,IN,0.19094
Montgomery,IN,0.185535
Morgan,IN,0.181427
Newton,IN,0.169581
Noble,IN,0.167412
Ohio,IN,0.160412
Orange,IN,0.157137
Owen,IN,0.153249
Parke,IN,0.149703
Perry,IN,0.145688
Pike,IN,0.140654
Porter,IN,0.133087
Posey,IN,0.132799
Pulaski,IN,0.128129
Putnam,IN,0.127857
Randolph,IN,0.124389
Ripley,IN,0.118968
Rush,IN,0.11525
Scott,IN,0.105779
Shelby,IN,0.102344
Spencer,IN,0.096831
St.Joseph,IN,0.096132
Starke,IN,0.093045
Steuben,IN,0.091231
Sullivan,IN,0.09097
Switzerland,IN,0.0874
Tippecanoe,IN,0.083575
Tipton,IN,0.083523
Union,IN,0.077905
Vanderburgh,IN,0.075919
Vermillion,IN,0.07419
Vigo,IN,0.074163
Wabash,IN,0.074137
Warren,IN,0.07029
Warrick,IN,0.070282
Washington,IN,0.064641
Wayne,IN,0.064557
Wells,IN,0.060785
White,IN,0.05881
Whitley,IN,0.056918
Allen,KS,0.649676
Anderson,KS,0.63442
Atchison,KS,0.607961
Barber,KS,0.591778
Barton,KS,0.587819
Bourbon,KS,0.560293
Brown,KS,0.552588
Butler,KS,0.546895
Chase,KS,0.527747
Chautauqua,KS,0.52731
Cherokee,KS,0.525935
Cheyenne,KS,0.524584
Clark,KS,0.520742
Clay,KS,0.517325
Cloud,KS,0.512942
Coffey,KS,0.51229
Comanche,KS,0.5068
Cowley,KS,0.50248
Crawford,KS,0.500979
Decatur,KS,0.483069
Dickinson,KS,0.476334
Doniphan,KS,0.471566
Douglas,KS,0.470825
Edwards,KS,0.460696
Elk,KS,0.459282
Ellis,KS,0.458425
Ellsworth,KS,0.458204
Finney,KS,0.445197
Ford,KS,0.441415
Franklin,KS,0.433283
Geary,KS,0.418272
Gove,KS,0.409399
Graham,KS,0.408283
Grant,KS,0.405175
Gray,KS,0.400622
Greeley,KS,0.398624
Greenwood,KS,0.391355
Hamilton,KS,0.38278
Harper,KS,0.370753
Harvey,KS,0.365934
Haskell,KS,0.364996
Hodgeman,KS,0.35324
Jackson,KS,0.324639
Jefferson,KS,0.313116
Jewell,KS,0.307629
Johnson,KS,0.305306
Kearny,KS,0.294049
Kingman,KS,0.286786
Kiowa,KS,0.284614
Labette,KS,0.279941
Lane,KS,0.269659
Leavenworth,KS,0.263472
Lincoln,KS,0.250708
Linn,KS,0.248716
Logan,KS,0.245393
Lyon,KS,0.239373
Marion,KS,0.226043
Marshall,KS,0.221923
McPherson,KS,0.210434
Meade,KS,0.210068
Miami,KS,0.202983
Mitchell,KS,0.194012
Montgomery,KS,0.186173
Morris,KS,0.180429
Morton,KS,0.180206
Nemaha,KS,0.17397
Neosho,KS,0.173897
Ness,KS,0.173217
Norton,KS,0.16414
Osage,KS,0.156354
Osborne,KS,0.156028
Ottawa,KS,0.154716
Pawnee,KS,0.148149
Phillips,KS,0.143852
Pottawatomie,KS,0.132757
Pratt,KS,0.131534
Rawlins,KS,0.122723
Reno,KS,0.122362
Republic,KS,0.121035
Rice,KS,0.120793
Riley,KS,0.119187
Rooks,KS,0.116737
Rush,KS,0.115282
Russell,KS,0.114904
Saline,KS,0.111678
Scott,KS,0.105968
Sedgwick,KS,0.104259
Seward,KS,0.104079
Shawnee,KS,0.103497
Sheridan,KS,0.101855
Sherman,KS,0.100525
Smith,KS,0.098625
Stafford,KS,0.094728
Stanton,KS,0.094472
Stevens,KS,0.091206
Sumner,KS,0.089245
Thomas,KS,0.085304
Trego,KS,0.081699
Wabaunsee,KS,0.07412
Wallace,KS,0.072304
Washington,KS,0.066426
Wichita,KS,0.056904
Wilson,KS,0.053069
Woodson,KS,0.049164
Wyandotte,KS,0.045309
Adair,KY,0.738772
Allen,KY,0.648271
Anderson,KY,0.634781
Ballard,KY,0.597696
Barren,KY,0.590878
Bath,KY,0.58605
Bell,KY,0.580362
Boone,KY,0.564482
Bourbon,KY,0.560324
Boyd,KY,0.559801
Boyle,KY,0.55917
Bracken,KY,0.558921
Breathitt,KY,0.556909
Breckinridge,KY,0.556878
Bullitt,KY,0.548564
Butler,KY,0.546816
Caldwell,KY,0.543149
Calloway,KY,0.540343
Campbell,KY,0.538094
Carlisle,KY,0.53656
Carroll,KY,0.534764
Carter,KY,0.533755
Casey,KY,0.533134
Christian,KY,0.522544
Clark,KY,0.520625
Clay,KY,0.517655
Clinton,KY,0.513649
Crittenden,KY,0.498412
Cumberland,KY,0.495291
Daviess,KY,0.489189
Edmonson,KY,0.461168
Elliott,KY,0.458657
Estill,KY,0.45183
Fayette,KY,0.44709
Fleming,KY,0.443834
Floyd,KY,0.442352
Franklin,KY,0.4342
Fulton,KY,0.427039
Gallatin,KY,0.424854
Garrard,KY,0.42045
Grant,KY,0.402776
Graves,KY,0.40128
Grayson,KY,0.399306
Green,KY,0.397937
Greenup,KY,0.391913
Hancock,KY,0.378991
Hardin,KY,0.374173
Harlan,KY,0.371659
Harrison,KY,0.368073
Hart,KY,0.366855
Henderson,KY,0.361184
Henry,KY,0.357664
Hickman,KY,0.355754
Hopkins,KY,0.349068
Jackson,KY,0.32243
Jefferson,KY,0.316667
Jessamine,KY,0.308449
Johnson,KY,0.303256
Kenton,KY,0.290772
Knott,KY,0.283425
Knox,KY,0.280311
Larue,KY,0.267673
