county,state,Clinton,Sanders
Mitchell,GA,"1,342",203
Monroe,GA,"1,251",301
Montgomery,GA,287,72
Morgan,GA,910,259
Murray,GA,444,407
Muscogee,GA,"12,862","3,342"
Newton,GA,"7,273","2,002"
Oconee,GA,"1,225","1,102"
Oglethorpe,GA,562,358
Paulding,GA,"4,123","2,123"
Peach,GA,"1,676",316
Pickens,GA,431,370
Pierce,GA,219,104
Pike,GA,418,188
Polk,GA,944,403
Pulaski,GA,376,60
Putnam,GA,871,206
Quitman,GA,193,15
Rabun,GA,398,326
Randolph,GA,693,71
Richmond,GA,"16,315","3,586"
Rockdale,GA,"7,973","2,234"
Schley,GA,147,25
Screven,GA,773,168
Seminole,GA,475,81
Spalding,GA,"3,132",820
Stephens,GA,460,284
Stewart,GA,460,46
Sumter,GA,"1,960",404
Talbot,GA,852,120
Taliaferro,GA,236,35
Tattnall,GA,518,154
Taylor,GA,477,63
Telfair,GA,426,91
Terrell,GA,804,106
Thomas,GA,"2,054",551
Tift,GA,"1,158",345
Toombs,GA,564,166
Towns,GA,317,270
Treutlen,GA,302,58
Troup,GA,"3,382",859
Turner,GA,330,81
Twiggs,GA,819,118
Union,GA,574,418
Upson,GA,"1,236",280
Walker,GA,"1,009",869
Walton,GA,"2,315",971
Ware,GA,920,284
Warren,GA,468,49
Washington,GA,"1,749",258
Wayne,GA,702,236
Webster,GA,170,18
Wheeler,GA,177,26
White,GA,499,440
Whitfield,GA,"1,539","1,311"
Wilcox,GA,303,41
Wilkes,GA,702,141
Wilkinson,GA,832,155
Worth,GA,686,166
Georgia,T,"545,674","215,797"
,,,
Adams,IL,"1,784","1,654"
Alexander,IL,770,434
Bond,IL,719,855
Boone,IL,"1,958","2,777"
Brown,IL,160,156
Bureau,IL,"1,523","1,860"
Calhoun,IL,447,504
Carroll,IL,625,642
Cass,IL,504,539
Champaign,IL,"10,721","21,440"
Christian,IL,"1,401","1,529"
Clark,IL,562,664
Clay,IL,378,439
Clinton,IL,908,"1,270"
Coles,IL,"1,714","2,527"
Cook,IL,"633,300","536,805"
Crawford,IL,609,585
Cumberland,IL,364,518
DeKalb,IL,"4,146","8,330"
De Witt,IL,561,660
Douglas,IL,484,643
DuPage,IL,"59,798","66,163"
Edgar,IL,446,468
Edwards,IL,143,148
Effingham,IL,868,"1,248"
Fayette,IL,616,643
Ford,IL,288,438
Franklin,IL,"2,179","2,782"
Fulton,IL,"2,153","2,540"
Gallatin,IL,531,663
Greene,IL,507,535
Grundy,IL,"2,053","3,106"
Hamilton,IL,418,485
Hancock,IL,631,468
Hardin,IL,162,222
Henderson,IL,339,296
Henry,IL,"2,159","2,065"
Iroquois,IL,544,881
Jackson,IL,"2,842","4,713"
Jasper,IL,328,434
Jefferson,IL,"1,678","1,777"
Jersey,IL,857,"1,071"
Jo Daviess,IL,"1,320","1,226"
Johnson,IL,361,420
Kane,IL,"23,505","30,434"
Kankakee,IL,"4,902","5,761"
Kendall,IL,"5,611","7,841"
Knox,IL,"2,957","3,222"
Lake,IL,"50,271","44,823"
LaSalle,IL,"5,279","6,746"
Lawrence,IL,417,431
Lee,IL,"1,295","1,961"
Livingston,IL,832,"1,054"
Logan,IL,739,974
McDonough,IL,"1,054","1,471"
McHenry,IL,"13,221","20,702"
McLean,IL,"7,726","13,008"
Macon,IL,"5,958","4,995"
Macoupin,IL,"2,783","3,537"
Madison,IL,"15,572","19,463"
Marion,IL,"1,630","1,708"
Marshall,IL,569,586
Mason,IL,680,677
Massac,IL,540,492
Menard,IL,398,491
Mercer,IL,946,860
Monroe,IL,"1,438","1,778"
Montgomery,IL,"1,250","1,277"
Morgan,IL,936,"1,288"
Moultrie,IL,467,566
Ogle,IL,"1,793","2,642"
Peoria,IL,"11,473","10,409"
Perry,IL,855,931
Piatt,IL,788,"1,017"
Pike,IL,497,451
Pope,IL,109,176
Pulaski,IL,385,217
Putnam,IL,455,504
Randolph,IL,"1,314","1,555"
Richland,IL,448,551
Rock Island,IL,"10,240","9,345"
St. Clair,IL,"24,218","15,838"
Saline,IL,"1,054","1,158"
Sangamon,IL,"9,295","10,416"
Schuyler,IL,368,294
Scott,IL,150,161
Shelby,IL,783,941
Stark,IL,197,215
Stephenson,IL,"1,989","2,029"
Tazewell,IL,"5,905","7,192"
Union,IL,921,"1,153"
Vermilion,IL,"3,048","2,803"
Wabash,IL,356,345
Warren,IL,726,741
Washington,IL,409,595
Wayne,IL,319,419
White,IL,565,531
Whiteside,IL,"2,900","3,109"
Will,IL,"42,799","47,674"
Williamson,IL,"2,985","3,909"
Winnebago,IL,"15,097","16,784"
Woodford,IL,"1,279","1,620"
Illinois,T,"1,039,555","999,494"
,,,
Adams,IN,991,"1,030"
Allen,IN,"15,045","16,456"
Bartholomew,IN,"2,778","3,183"
Benton,IN,190,235
Blackford,IN,493,514
Boone,IN,"2,075","2,555"
Brown,IN,806,"1,270"
Carroll,IN,508,648
Cass,IN,"1,137","1,656"
Clark,IN,"6,195","5,308"
Clay,IN,931,"1,049"
Clinton,IN,724,"1,046"
Crawford,IN,684,616
Daviess,IN,539,701
Dearborn,IN,"1,391","1,246"
Decatur,IN,631,733
DeKalb,IN,"1,140","1,270"
Delaware,IN,"6,137","7,730"
Dubois,IN,"2,305","2,293"
Elkhart,IN,"4,791","6,440"
Fayette,IN,984,"1,097"
Floyd,IN,"4,584","4,111"
Fountain,IN,413,462
Franklin,IN,667,552
Fulton,IN,594,683
Gibson,IN,"1,484","1,453"
Grant,IN,"2,318","2,344"
Greene,IN,"1,086","1,466"
Hamilton,IN,"12,300","14,562"
Hancock,IN,"1,798","2,621"
Harrison,IN,"1,921","1,666"
Hendricks,IN,"4,874","6,902"
Henry,IN,"1,789","2,139"
Howard,IN,"3,527","3,735"
Huntington,IN,836,"1,227"
Jackson,IN,"1,467","1,380"
Jasper,IN,910,"1,323"
Jay,IN,692,704
Jefferson,IN,"1,648","1,465"
Jennings,IN,837,921
Johnson,IN,"3,686","5,480"
Knox,IN,"1,742","1,774"
Kosciusko,IN,"1,373","2,120"
LaGrange,IN,521,578
Lake,IN,"43,112","32,922"
LaPorte,IN,"6,179","7,276"
Lawrence,IN,"1,062","1,648"
Madison,IN,"6,635","7,173"
Marion,IN,"59,655","58,812"
Marshall,IN,"1,202","1,705"
Martin,IN,407,486
Miami,IN,720,987
Monroe,IN,"8,063","15,166"
Montgomery,IN,715,966
Morgan,IN,"1,600","2,158"
Newton,IN,434,521
Noble,IN,"1,134","1,274"
Ohio,IN,248,178
Orange,IN,603,661
Owen,IN,631,"1,056"
Parke,IN,497,599
Perry,IN,"1,358","1,114"
Pike,IN,526,625
Porter,IN,"9,480","13,368"
Posey,IN,"1,117","1,378"
Pulaski,IN,351,473
Putnam,IN,974,"1,189"
Randolph,IN,705,887
Ripley,IN,768,735
Rush,IN,417,561
St. Joseph,IN,"15,515","17,357"
Scott,IN,"1,588","1,288"
Shelby,IN,"1,215","1,497"
Spencer,IN,"1,060","1,030"
Starke,IN,"1,055","1,277"
Steuben,IN,981,"1,120"
Sullivan,IN,"1,058","1,455"
Switzerland,IN,430,410
Tippecanoe,IN,"6,005","9,592"
Tipton,IN,437,606
Union,IN,205,205
Vanderburgh,IN,"7,682","9,142"
Vermillion,IN,"1,074","1,309"
Vigo,IN,"6,045","7,434"
Wabash,IN,906,"1,080"
Warren,IN,257,273
Warrick,IN,"2,677","3,139"
Washington,IN,"1,000",932
Wayne,IN,"2,025","2,414"
Wells,IN,763,796
White,IN,709,913
Whitley,IN,883,"1,143"
Indiana,T,"303,705","335,074"
,,,
Adair,KY,466,410
Allen,KY,427,440
Anderson,KY,"1,132","1,649"
Ballard,KY,405,659
Barren,KY,"1,979","2,653"
Bath,KY,628,641
Bell,KY,567,578
Boone,KY,"2,932","2,496"
Bourbon,KY,"1,109","1,087"
Boyd,KY,"2,193","2,263"
Boyle,KY,"1,648","1,451"
Bracken,KY,251,424
Breathitt,KY,"1,123","1,716"
Breckinridge,KY,877,875
Bullitt,KY,"2,907","3,210"
Butler,KY,238,196
Caldwell,KY,570,866
Calloway,KY,"1,460","2,239"
Campbell,KY,"3,169","3,133"
Carlisle,KY,206,462
Carroll,KY,481,573
Carter,KY,800,"1,051"
Casey,KY,210,182
Christian,KY,"2,437","1,936"
Clark,KY,"1,810","1,888"
Clay,KY,184,158
Clinton,KY,151,93
Crittenden,KY,240,344
Cumberland,KY,78,87
Daviess,KY,"5,066","5,188"
Edmonson,KY,275,262
Elliott,KY,285,437
Estill,KY,446,440
Fayette,KY,"20,014","17,049"
Fleming,KY,627,806
Floyd,KY,"2,327","4,010"
Franklin,KY,"5,218","5,398"
Fulton,KY,315,245
Gallatin,KY,260,340
Garrard,KY,434,387
Grant,KY,594,715
Graves,KY,"1,631","2,631"
Grayson,KY,705,630
Green,KY,284,360
Greenup,KY,"1,517","1,655"
Hancock,KY,491,573
Hardin,KY,"4,359","4,208"
Harlan,KY,451,"1,092"
Harrison,KY,886,"1,059"
Hart,KY,817,"1,062"
Henderson,KY,"2,887","2,850"
Henry,KY,781,958
Hickman,KY,209,300
Hopkins,KY,"1,690","2,696"
Jackson,KY,78,128
Jefferson,KY,"64,090","45,048"
