county,state,Religious2014,Civic2014,Business2014,Political2014,Professional2014,Labor2014,Bowling2014,Recreational2014,Golf2014,Sports2014,pop2014,assn2014,pvote2012,respn2010,nccs2014,sk2014
Brown , IL,7,2,1,0,0,1,0,1,1,0,6843,1.899751571,0.593224592,0.7,41,0.199970826
Warren , IL,19,3,2,0,0,0,1,1,1,0,17801,1.516768721,0.648875937,0.8,122,0.199264216
Outagamie , WI,102,13,8,2,3,25,7,25,9,2,181979,1.077047352,0.842583438,0.86,844,0.199264216
Amelia , VA,16,0,1,0,0,0,0,0,1,0,12785,1.407899883,0.781709247,0.79,54,0.198557605
Isle of Wight , VA,43,2,2,0,0,1,0,4,0,0,36004,1.444283968,0.766064663,0.82,161,0.198557605
Dawson , NE,30,3,6,0,0,0,1,3,3,0,24024,1.914751915,0.577061458,0.7,151,0.197850994
Mercer , NJ,183,39,52,8,31,43,5,42,9,2,371601,1.114098186,0.67826183,0.75,3018,0.195731162
Delaware , IA,17,1,2,0,0,0,1,1,4,0,17419,1.492622998,0.74193038,0.82,83,0.19361133
Columbiana , OH,99,35,5,0,2,6,1,7,11,0,105597,1.572014356,0.690388738,0.78,580,0.192198109
Allegheny , PA,794,222,57,14,39,131,27,184,35,6,1232896,1.223947519,0.672992186,0.79,9537,0.192198109
Lynn , TX,12,0,2,0,0,0,0,0,1,0,5753,2.607335303,0.505678885,0.61,24,0.191491498
Louisa , IA,11,0,1,0,0,0,0,0,2,0,11179,1.252348153,0.65967335,0.69,86,0.190784887
Monroe , WI,37,2,3,0,0,2,2,2,2,0,45356,1.102389981,0.806131314,0.8,236,0.190784887
Grand Isle , VT,5,1,0,0,0,0,0,0,1,0,6974,1.003728133,0.72689975,0.8,53,0.189371666
Rice , MN,47,12,6,0,2,2,2,6,4,0,65143,1.243418326,0.763553326,0.83,360,0.187251834
Carson City, NV,12,7,12,0,1,2,1,7,3,0,54480,0.825991189,0.802056821,0.8,366,0.187251834
Boundary , ID,8,0,0,0,0,0,0,1,1,0,10977,0.910995718,0.712225705,0.65,89,0.186545223
Morgan , GA,20,1,2,0,0,0,0,2,0,0,17981,1.390356487,0.736116774,0.74,94,0.185838613
Alamosa , CO,11,5,0,0,0,1,1,3,1,0,16318,1.348204437,0.670628183,0.67,112,0.185132002
Adams , IN,34,10,5,0,0,2,1,3,2,0,34756,1.640004604,0.696706827,0.78,172,0.185132002
Van Buren , IA,5,0,0,0,0,0,0,0,1,0,7415,0.8091706,0.671875,0.71,72,0.184425391
Walla Walla , WA,30,7,3,0,0,4,2,6,2,0,59771,0.90344816,0.788468785,0.76,391,0.184425391
Tuolumne , CA,29,4,6,0,2,0,0,5,3,0,53872,0.90956341,0.777078284,0.66,354,0.18371878
Clarke , IA,7,1,2,0,0,1,1,0,1,0,9223,1.409519679,0.693379246,0.77,57,0.180892338
Chenango , NY,35,5,2,0,0,1,5,4,6,0,49333,1.175683619,0.614117647,0.71,452,0.180892338
Spencer , IN,20,6,2,0,0,1,0,1,1,0,20831,1.488166675,0.621121185,0.84,159,0.180185727
Macoupin , IL,54,7,2,0,1,3,3,5,4,0,46354,1.704275791,0.658992535,0.8,256,0.179479116
Massac , IL,22,1,2,0,0,4,1,1,1,0,14876,2.151115891,0.603849015,0.76,66,0.179479116
Delta , MI,36,3,1,1,0,8,1,7,5,0,36552,1.696213613,0.618108349,0.72,233,0.179479116
Beltrami , MN,31,7,2,0,0,1,2,6,3,0,45623,1.13977599,0.749931982,0.76,283,0.179479116
Scotts Bluff , NE,37,10,2,3,0,2,3,6,1,0,36463,1.755203905,0.591300389,0.78,249,0.178772506
Haywood , TN,38,2,0,0,0,0,0,1,1,0,18196,2.308199604,0.626002812,0.79,57,0.175946063
