county,state,Obama_08,McCain_08
Osceola,Florida,"59,081","39,489"
PalmBeach,Florida,"342,527","211,163"
Pasco,Florida,"102,217","109,902"
Pinellas,Florida,"243,994","206,909"
Polk,Florida,"113,552","128,658"
Putnam,Florida,"13,201","19,586"
SantaRosa,Florida,"19,394","55,843"
Sarasota,Florida,"102,413","102,650"
Seminole,Florida,"99,140","104,885"
St.Johns,Florida,"35,578","68,800"
St.Lucie,Florida,"66,830","52,323"
Sumter,Florida,"17,644","30,859"
Suwannee,Florida,"4,572","11,672"
Taylor,Florida,"2,787","6,446"
Union,Florida,"1,299","3,933"
Volusia,Florida,"127,474","113,716"
Wakulla,Florida,"5,303","8,869"
Walton,Florida,"7,158","19,527"
Washington,Florida,"2,858","8,165"
Appling,Georgia,"1,846","5,085"
Atkinson,Georgia,938,"1,941"
Bacon,Georgia,817,"3,089"
Baker,Georgia,846,828
Baldwin,Georgia,"8,587","7,823"
Banks,Georgia,"1,027","5,120"
Barrow,Georgia,"6,657","17,625"
Bartow,Georgia,"9,662","25,976"
BenHill,Georgia,"2,590","3,417"
Berrien,Georgia,"1,468","4,889"
Bibb,Georgia,"38,851","26,981"
Bleckley,Georgia,"1,380","3,657"
Brantley,Georgia,"1,119","5,080"
Brooks,Georgia,"2,669","3,507"
Bryan,Georgia,"3,630","9,105"
Bulloch,Georgia,"9,586","14,174"
Burke,Georgia,"5,233","4,344"
Butts,Georgia,"3,064","5,944"
Calhoun,Georgia,"1,342",862
Camden,Georgia,"6,482","10,502"
Candler,Georgia,"1,209","2,286"
Carroll,Georgia,"14,334","28,661"
Catoosa,Georgia,"6,025","18,218"
Charlton,Georgia,"1,193","2,458"
Chatham,Georgia,"62,755","46,829"
Chattahoochee,Georgia,830,811
Chattooga,Georgia,"2,591","5,564"
Cherokee,Georgia,"22,350","70,279"
Clarke,Georgia,"29,513","15,309"
Clay,Georgia,879,558
Clayton,Georgia,"82,527","16,506"
Clinch,Georgia,989,"1,678"
Cobb,Georgia,"141,216","170,957"
Coffee,Georgia,"4,811","8,872"
Colquitt,Georgia,"4,139","9,185"
Columbia,Georgia,"15,703","39,322"
Cook,Georgia,"2,075","3,782"
Coweta,Georgia,"15,521","37,571"
Crawford,Georgia,"1,832","3,358"
Crisp,Georgia,"3,078","4,423"
Dade,Georgia,"1,608","4,698"
Dawson,Georgia,"1,632","8,242"
Decatur,Georgia,"4,424","5,890"
DeKalb,Georgia,"254,594","65,581"
Dodge,Georgia,"2,595","5,543"
Dooly,Georgia,"2,138","1,991"
Dougherty,Georgia,"26,135","12,547"
Douglas,Georgia,"27,825","26,812"
Early,Georgia,"2,602","2,709"
Echols,Georgia,201,981
Effingham,Georgia,"4,936","15,230"
Elbert,Georgia,"3,366","4,868"
Emanuel,Georgia,"3,068","5,110"
Evans,Georgia,"1,374","2,462"
Fannin,Georgia,"2,611","7,807"
Fayette,Georgia,"20,313","38,501"
Floyd,Georgia,"10,691","23,132"
Forsyth,Georgia,"15,406","59,166"
Franklin,Georgia,"1,910","6,054"
Fulton,Georgia,"272,000","130,136"
Gilmer,Georgia,"2,614","8,408"
Glascock,Georgia,210,"1,202"
Glynn,Georgia,"12,676","20,479"
Gordon,Georgia,"4,268","13,113"
Grady,Georgia,"3,539","5,775"
Greene,Georgia,"3,339","4,532"
Gwinnett,Georgia,"129,025","158,746"
Habersham,Georgia,"2,900","11,766"
Hall,Georgia,"14,457","44,962"
Hancock,Georgia,"3,535",795
Haralson,Georgia,"2,248","8,658"
Harris,Georgia,"4,179","10,645"
Hart,Georgia,"3,365","6,537"
Heard,Georgia,"1,042","3,133"
Henry,Georgia,"40,527","47,115"
Houston,Georgia,"22,094","33,392"
Irwin,Georgia,"1,197","2,605"
Jackson,Georgia,"4,950","17,776"
Jasper,Georgia,"1,935","3,916"
JeffDavis,Georgia,"1,350","3,847"
Jefferson,Georgia,"4,149","3,061"
Jenkins,Georgia,"1,482","1,936"
Johnson,Georgia,"1,198","2,426"
Jones,Georgia,"4,572","7,782"
Lamar,Georgia,"2,745","4,871"
Lanier,Georgia,"1,062","1,787"
Laurens,Georgia,"7,769","12,052"
Lee,Georgia,"3,100","9,923"
Liberty,Georgia,"10,474","5,828"
Lincoln,Georgia,"1,650","2,731"
Long,Georgia,"1,288","2,119"
Lowndes,Georgia,"17,405","21,085"
Lumpkin,Georgia,"2,586","8,326"
Macon,Georgia,"3,251","1,712"
Madison,Georgia,"2,957","8,224"
Marion,Georgia,"1,381","1,772"
McDuffie,Georgia,"3,989","5,400"
McIntosh,Georgia,"2,905","3,282"
Meriwether,Georgia,"4,465","4,982"
Miller,Georgia,809,"1,897"
Mitchell,Georgia,"3,872","4,201"
Monroe,Georgia,"4,106","7,933"
Montgomery,Georgia,"1,045","2,521"
Morgan,Georgia,"3,091","5,987"
Murray,Georgia,"3,026","8,180"
Muscogee,Georgia,"44,158","29,568"
Newton,Georgia,"20,827","20,337"
Oconee,Georgia,"4,825","12,120"
Oglethorpe,Georgia,"2,232","4,144"
Paulding,Georgia,"17,229","39,192"
Peach,Georgia,"5,927","5,173"
Pickens,Georgia,"2,595","10,004"
Pierce,Georgia,"1,253","5,500"
Pike,Georgia,"1,574","6,542"
Polk,Georgia,"4,052","9,850"
Pulaski,Georgia,"1,377","2,553"
Putnam,Georgia,"3,102","5,966"
Quitman,Georgia,597,509
Rabun,Georgia,"2,001","5,487"
Randolph,Georgia,"1,833","1,370"
Richmond,Georgia,"52,100","26,842"
Rockdale,Georgia,"20,421","16,860"
Schley,Georgia,479,"1,252"
Screven,Georgia,"3,024","3,423"
Seminole,Georgia,"1,657","2,315"
Spalding,Georgia,"10,141","14,885"
Stephens,Georgia,"2,705","7,689"
Stewart,Georgia,"1,305",783
Sumter,Georgia,"6,444","5,713"
Talbot,Georgia,"2,367","1,300"
Taliaferro,Georgia,643,339
Tattnall,Georgia,"1,932","4,730"
Taylor,Georgia,"1,533","2,019"
Telfair,Georgia,"1,862","2,486"
Terrell,Georgia,"2,501","1,890"
Thomas,Georgia,"7,720","10,642"
Tift,Georgia,"4,749","9,431"
Toombs,Georgia,"2,964","6,658"
Towns,Georgia,"1,391","4,292"
Treutlen,Georgia,"1,112","1,826"
Troup,Georgia,"10,438","15,374"
Turner,Georgia,"1,427","2,096"
Twiggs,Georgia,"2,402","2,087"
Union,Georgia,"2,486","8,007"
Upson,Georgia,"4,050","7,282"
Walker,Georgia,"6,094","17,101"
Walton,Georgia,"8,469","27,253"
Ware,Georgia,"4,034","8,311"
Warren,Georgia,"1,554","1,087"
Washington,Georgia,"4,607","4,216"
Wayne,Georgia,"2,858","7,601"
Webster,Georgia,515,588
Wheeler,Georgia,794,"1,408"
White,Georgia,"2,174","8,467"
Whitfield,Georgia,"8,167","19,230"
Wilcox,Georgia,978,"2,159"
Wilkes,Georgia,"2,315","2,705"
Wilkinson,Georgia,"2,298","2,349"
Worth,Georgia,"2,540","5,777"
Hawaii,Hawaii,"50,808","14,865"
Honolulu,Hawaii,"213,977","88,049"
Kauai,Hawaii,"20,408","6,243"
Maui,Hawaii,"39,725","11,152"
Ada,Idaho,"82,023","92,879"
Adams,Idaho,728,"1,515"
Bannock,Idaho,"14,792","19,356"
BearLake,Idaho,502,"2,377"
Benewah,Idaho,"1,407","2,646"
Bingham,Idaho,"4,424","12,230"
Blaine,Idaho,"6,947","3,439"
Boise,Idaho,"1,240","2,433"
Bonner,Idaho,"7,840","11,145"
Bonneville,Idaho,"11,415","29,324"
Boundary,Idaho,"1,474","3,098"
Butte,Idaho,318,"1,056"
Camas,Idaho,187,422
Canyon,Idaho,"20,147","42,752"
Caribou,Idaho,553,"2,656"
Cassia,Idaho,"1,305","6,240"
Clark,Idaho,64,305
Clearwater,Idaho,"1,211","2,569"
Custer,Idaho,620,"1,704"
Elmore,Idaho,"2,523","5,571"
Franklin,Idaho,599,"4,231"
Fremont,Idaho,"1,065","4,700"
Gem,Idaho,"2,166","5,585"
Gooding,Idaho,"1,485","3,764"
IdahoCounty,Idaho,"1,935","5,895"
Jefferson,Idaho,"1,641","8,540"
Jerome,Idaho,"1,794","4,897"
Kootenai,Idaho,"22,120","38,387"
Latah,Idaho,"9,191","7,984"
Lemhi,Idaho,796,"2,938"
Lewis,Idaho,479,"1,275"
Lincoln,Idaho,497,967
Madison,Idaho,"1,625","11,120"
Minidoka,Idaho,"1,137","3,976"
NezPerce,Idaho,"7,123","10,357"
Oneida,Idaho,381,"1,724"
Owyhee,Idaho,944,"3,024"
Payette,Idaho,"2,415","5,988"
Power,Idaho,"1,027","1,754"
Shoshone,Idaho,"2,521","2,953"
Teton,Idaho,"2,302","2,263"
TwinFalls,Idaho,"8,621","19,032"
Valley,Idaho,"2,394","2,750"
Washington,Idaho,"1,241","3,168"
Adams,Illinois,"11,700","18,592"
Alexander,Illinois,"2,189","1,692"
Bond,Illinois,"3,832","3,938"
Boone,Illinois,"11,324","10,396"
Brown,Illinois,985,"1,541"
Bureau,Illinois,"8,872","7,902"
Calhoun,Illinois,"1,421","1,221"
Carroll,Illinois,"3,956","3,589"
Cass,Illinois,"2,690","2,617"
Champaign,Illinois,"48,351","33,748"
Christian,Illinois,"6,912","7,869"
Clark,Illinois,"3,737","4,406"
Clay,Illinois,"2,423","3,924"
Clinton,Illinois,"7,653","9,348"
Coles,Illinois,"11,704","10,962"
Cook,Illinois,"1,582,973","477,038"
Crawford,Illinois,"3,877","5,067"
Cumberland,Illinois,"2,052","3,155"
DeKalb,Illinois,"25,765","18,260"
DeWitt,Illinois,"3,299","4,345"
Douglas,Illinois,"3,226","5,001"
DuPage,Illinois,"227,416","182,860"
Edgar,Illinois,"3,737","4,393"
Edwards,Illinois,"1,140","2,136"
Effingham,Illinois,"5,256","11,313"
Fayette,Illinois,"3,963","5,493"
Ford,Illinois,"2,226","4,075"
Franklin,Illinois,"8,873","9,390"
Fulton,Illinois,"9,722","6,244"
Gallatin,Illinois,"1,587","1,211"
Greene,Illinois,"2,617","3,048"
Grundy,Illinois,"9,134","9,144"
Hamilton,Illinois,"1,794","2,353"
Hancock,Illinois,"3,753","4,778"
Hardin,Illinois,892,"1,330"
Henderson,Illinois,"2,213","1,540"
Henry,Illinois,"13,177","11,247"
Iroquois,Illinois,"4,640","8,686"
Jackson,Illinois,"15,199","9,665"
Jasper,Illinois,"2,063","2,963"
Jefferson,Illinois,"7,460","9,293"
Jersey,Illinois,"5,036","5,320"
JoDaviess,Illinois,"6,392","5,163"
Johnson,Illinois,"1,477","3,138"
Kane,Illinois,"105,592","84,223"
Kankakee,Illinois,"24,719","22,508"
Kendall,Illinois,"23,529","20,675"
Knox,Illinois,"14,165","9,396"
Lake,Illinois,"111,051","85,284"
LaSalle,Illinois,"27,415","21,855"
Lawrence,Illinois,"3,013","3,401"
Lee,Illinois,"7,757","8,243"
